,normalized_street_name_season,snowfall,total_area,average_coverage,roadwork_factor
3,1-1 avenue_2019,16.315984119920405,12.44291372817589,0.3869817313302467,0.09503741533475173
6,1-1 avenue_2022,16.337583229970743,12.44291372817589,0.4559362704114769,0.14979836508839459
8,1-1 avenue_2024,16.012160860418042,12.44291372817589,0.40818904653524285,0.4076626916516516
41,1-10 avenue_2017,15.913046847619507,11.678658879947779,0.3798127736429841,0.01715205881756557
45,1-10 avenue_2021,16.11859221376182,11.678658879947779,0.46938743420324003,0.3962898101727122
46,1-10 avenue_2022,15.544420205579662,11.678658879947779,0.48297892200595366,0.22554067591393126
62,1-11 avenue_2018,15.76232192150532,11.373206906554964,0.41692554120759806,0.19425012765922844
63,1-11 avenue_2019,15.209201174149767,11.373206906554964,0.4021201969744461,0.23554631803125237
65,1-11 avenue_2021,15.81313724926493,11.373206906554964,0.47741694351298725,0.3146647437816678
66,1-11 avenue_2022,15.238965268778868,11.373206906554964,0.4914116731220904,0.1044501013564644
68,1-11 avenue_2024,15.016554646679824,11.373206906554964,0.456598291156411,0.19917867386037755
72,1-12 avenue_2018,16.013561247856185,11.624443709838435,0.4170221168376089,0.4573615538966662
111,1-2 avenue_2017,16.62145402200353,12.332781334832712,0.40805676018878984,0.00786895837869518
113,1-2 avenue_2019,16.205851276759667,12.332781334832712,0.44553612043175345,0.733905173032113
116,1-2 avenue_2022,16.2274503866059,12.332781334832712,0.5171675331352137,0.0343048036919903
118,1-2 avenue_2024,15.902028020648668,12.332781334832712,0.4710038566535177,0.26681587977039606
155,1-3 avenue_2021,16.819935977713246,12.379998423330875,0.4118058628401772,0.023032699110572687
156,1-3 avenue_2022,16.24576393045092,12.379998423330875,0.43002905717903905,0.05798584919865327
158,1-3 avenue_2024,16.023353270275397,12.379998423330875,0.406256202685219,0.03324133377980188
211,1-4 avenue_2017,13.393556015630102,9.15926341894562,0.31666960932503324,1.8921928665493255
218,1-4 avenue_2024,12.802519865660352,9.15926341894562,0.38024553677604844,0.17386926997897073
