normalized_street_name_season,snowfall,total_area,average_coverage,roadwork_factor
1-1 avenue_2019,16.315984119920405,12.44291372817589,0.3869817313302467,0.0950374153347517
1-1 avenue_2022,16.337583229970743,12.44291372817589,0.4559362704114769,0.1497983650883945
1-1 avenue_2024,16.012160860418042,12.44291372817589,0.4081890465352428,0.4076626916516516
1-10 avenue_2017,15.913046847619508,11.67865887994778,0.3798127736429841,0.0171520588175655
1-10 avenue_2021,16.11859221376182,11.67865887994778,0.46938743420324,0.3962898101727122
1-10 avenue_2022,15.544420205579662,11.67865887994778,0.4829789220059536,0.2255406759139312
1-11 avenue_2018,15.76232192150532,11.373206906554964,0.416925541207598,0.1942501276592284
1-11 avenue_2019,15.209201174149769,11.373206906554964,0.4021201969744461,0.2355463180312523
1-11 avenue_2021,15.81313724926493,11.373206906554964,0.4774169435129872,0.3146647437816678
1-11 avenue_2022,15.238965268778868,11.373206906554964,0.4914116731220904,0.1044501013564644
1-11 avenue_2024,15.016554646679824,11.373206906554964,0.456598291156411,0.1991786738603775
1-12 avenue_2018,16.013561247856185,11.624443709838436,0.4170221168376089,0.4573615538966662
1-2 avenue_2017,16.62145402200353,12.332781334832712,0.4080567601887898,0.0078689583786951
1-2 avenue_2019,16.205851276759667,12.332781334832712,0.4455361204317534,0.733905173032113
1-2 avenue_2022,16.2274503866059,12.332781334832712,0.5171675331352137,0.0343048036919903
1-2 avenue_2024,15.902028020648668,12.332781334832712,0.4710038566535177,0.266815879770396
1-3 avenue_2021,16.819935977713246,12.379998423330877,0.4118058628401772,0.0230326991105726
1-3 avenue_2022,16.24576393045092,12.379998423330877,0.430029057179039,0.0579858491986532
1-3 avenue_2024,16.023353270275397,12.379998423330877,0.406256202685219,0.0332413337798018
1-4 avenue_2017,13.393556015630102,9.15926341894562,0.3166696093250332,1.8921928665493253
1-4 avenue_2024,12.802519865660352,9.15926341894562,0.3802455367760484,0.1738692699789707
1-5 avenue_2017,16.41816468307931,12.12949297527597,0.3334644166045041,0.6411694414672323
1-5 avenue_2018,16.516874885350276,12.12949297527597,0.3524040485713245,0.3780939113120324
1-5 avenue_2019,16.002561944857224,12.12949297527597,0.3562520604184522,0.6461603893356085
1-5 avenue_2021,16.59228748425556,12.12949297527597,0.3970301328930072,0.000899595242836
1-5 avenue_2022,16.02416105426224,12.12949297527597,0.4336150661044917,0.0409499863289541
1-5 avenue_2024,15.698738696077143,12.12949297527597,0.381818834542767,0.1845690293344339
1-6 avenue_2017,16.06828750976106,11.83389834143984,0.3780093384595748,0.485076953743213
1-6 avenue_2019,15.6698967625375,11.83389834143984,0.3879885245702915,0.0645697706493
1-6 avenue_2022,15.699660859853074,11.83389834143984,0.4638924517537154,0.1360158039174431
1-6 avenue_2024,15.477250215604892,11.83389834143984,0.3683973881883408,0.1866455282740091
1-7 avenue_2018,15.706111450534411,11.316997092235944,0.383624620496159,1.1065804583172865
1-7 avenue_2019,15.152990709274814,11.316997092235944,0.3704853892121376,0.1039995900184847
1-7 avenue_2021,15.75692677788514,11.316997092235944,0.4206984840332406,0.3503751417902043
1-7 avenue_2022,15.182754803483135,11.316997092235944,0.456436968412374,0.5709795465857378
1-7 avenue_2024,14.960344184853282,11.316997092235944,0.3728508765092561,0.7527359719716029
1-7 avenue south_2019,13.66104791095634,9.825095303723522,0.4488924015401828,0.8356878673420554
1-7 avenue south_2021,14.264983569505524,9.825095303723522,0.4878003078648515,0.009058844488346
1-8 avenue_2017,15.723557883384194,11.489171657778696,0.3923676198853682,0.7912262507195803
1-8 avenue_2018,15.878287916234092,11.489171657778696,0.4086283528623832,0.223063548114039
1-8 avenue_2019,15.325167157334608,11.489171657778696,0.4066471045753702,0.3771342183401026
1-8 avenue_2022,15.35493125276054,11.489171657778696,0.4627268718075509,0.4019924186291918
1-8 avenue_2024,15.13252062409188,11.489171657778696,0.4407600241127335,0.0756639039209896
1-86 street transverse_2017,13.178912817890035,8.890371614123278,0.2119135972370736,2.1885313448925325
1-9 avenue_2018,16.001445631508705,11.589141458060691,0.3676634211848336,0.0328543368709471
1-9 avenue_2019,15.507733696755391,11.589141458060691,0.3836642058278459,0.2288870259412754
1-97 street transverse_2017,13.722185528543683,9.433587393964672,0.1869158590581979,1.5701979990964967
1-abraham kazan street_2021,11.29262913162049,6.853731028104177,0.3696723029136745,2.591239192874061
1-academy street_2021,13.740297400646307,9.271956688895054,0.3356755459095469,0.937386640168888
1-academy street_2024,12.833195463919555,9.271956688895054,0.2920904447326918,0.0209784063851917
1-albany street_2018,12.977356079460764,8.588413664230451,0.2573408339050804,1.0307616217599351
1-albany street_2022,12.454000918570864,8.588413664230451,0.3171086457860046,0.0072734839664983
1-allen street_2022,13.989944448701843,10.124214085459997,0.5339260724173012,0.5444731431782086
1-amsterdam avenue_2017,16.66222623015536,12.333077430710915,0.3708180522569512,0.2426324038980567
1-amsterdam avenue_2019,16.251674435338053,12.333077430710915,0.3990037163678444,0.0680324103918269
1-amsterdam avenue_2022,16.2572222992917,12.333077430710915,0.4716735461631983,0.265513147680719
1-amsterdam avenue_2024,15.89440328528952,12.333077430710915,0.4062258175063278,0.3896066921737064
1-arden street_2017,12.890012436327083,8.561048204997757,0.2937908269401021,1.2517338677241958
1-arden street_2024,12.12219233880766,8.561048204997757,0.3298824269421573,0.8134603460699539
1-attorney street_2022,12.220722136210764,8.355182790153705,0.2193717410905577,0.0847087279269541
1-audubon avenue_2019,14.386183196126089,10.467609753560584,0.2998014159855339,0.1588823250601918
1-audubon avenue_2024,14.028912251191349,10.467609753560584,0.3655280116285199,0.3139344435958466
1-avenue a_2022,13.702792149182446,9.837074843765786,0.4546735433479482,0.0172503534065275
1-avenue a_2024,13.480381745888009,9.837074843765786,0.4193151126207974,0.3325359280854066
1-avenue b_2021,13.883155987106935,9.443292568176632,0.3493030102986377,0.921556841546655
1-avenue b_2022,13.308984626322353,9.443292568176632,0.4028777845432134,0.0157749191153622
1-avenue c_2021,14.752707347381609,10.31279845497452,0.3518460544778925,1.774206309980466
1-avenue c_2022,14.178535565516798,10.31279845497452,0.3773484155309587,0.0136070034062169
1-avenue d_2022,13.07243460953908,9.206763249622782,0.3735065322630914,0.0243998868235351
